gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401195,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,597.9,119.6,535.7,107.1,62.2,12.4,0.5,1.77,16.4,0.37,0.765,0.562,13.402,13.4,0.536,0.552,1.0,0.991,19.5,97.5,81.25,97.0,0.546,W,1,2024-25
22401179,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,635.9,127.2,494.6,98.9,141.3,28.3,0.643,2.25,20.8,0.289,0.717,0.551,13.043,13.0,0.617,0.652,1.0,0.981,18.4,92.0,76.67,92.0,0.676,W,1,2024-25
22401170,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,691.2,138.2,606.8,121.4,84.4,16.9,0.604,1.81,20.3,0.317,0.735,0.544,15.686,15.7,0.667,0.71,1.0,1.0,20.5,102.5,85.42,102.0,0.568,W,1,2024-25
22401152,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,547.9,109.6,585.1,117.0,-37.2,-7.4,0.61,1.79,18.9,0.286,0.688,0.485,14.894,14.9,0.534,0.554,1.0,0.981,18.8,94.0,78.33,94.0,0.453,L,0,2024-25
22401130,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,600.0,120.0,573.7,114.7,26.3,5.3,0.537,1.47,16.4,0.395,0.7,0.559,15.789,15.8,0.574,0.608,1.0,0.982,19.0,95.0,79.17,95.0,0.549,W,1,2024-25
22401113,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,570.7,114.1,494.5,98.9,76.1,15.2,0.692,1.5,20.1,0.349,0.745,0.564,19.565,19.6,0.583,0.602,1.0,0.963,18.3,91.5,76.25,92.0,0.57,W,1,2024-25
22401102,1610612750,Minnesota,Timberwolves,MIN,timberwolves,290:00,614.0,122.8,609.6,121.9,4.4,0.9,0.673,2.5,20.1,0.397,0.744,0.538,12.281,12.3,0.554,0.574,1.0,0.971,18.87,94.34,78.62,114.0,0.446,W,1,2024-25
22401084,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,634.0,126.8,541.7,108.3,92.4,18.5,0.545,2.4,17.0,0.396,0.692,0.559,10.309,10.3,0.538,0.577,1.0,0.974,19.3,96.5,80.42,97.0,0.634,W,1,2024-25
22401071,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,652.6,130.5,579.8,116.0,72.8,14.6,0.66,2.38,22.0,0.349,0.8,0.566,13.684,13.7,0.635,0.655,1.0,0.955,18.9,94.5,78.75,95.0,0.565,W,1,2024-25
22401037,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,500.0,100.0,572.1,114.4,-72.1,-14.4,0.591,1.53,18.7,0.2,0.771,0.48,16.505,16.5,0.533,0.54,1.0,0.991,20.7,103.5,86.25,103.0,0.422,L,0,2024-25
22401016,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,676.8,135.4,474.5,94.9,202.3,40.5,0.833,2.86,26.1,0.341,0.757,0.538,14.141,14.1,0.646,0.685,1.0,0.965,19.7,98.5,82.08,99.0,0.685,W,1,2024-25
22401001,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,586.7,117.3,607.1,121.4,-20.4,-4.1,0.6,1.5,16.0,0.255,0.64,0.454,14.286,14.3,0.558,0.619,1.0,0.982,19.6,98.0,81.67,98.0,0.49,L,0,2024-25
22400986,1610612750,Minnesota,Timberwolves,MIN,timberwolves,265:00,565.2,113.0,584.1,116.8,-18.9,-3.8,0.568,1.67,16.0,0.309,0.706,0.5,13.043,13.0,0.521,0.576,1.0,0.962,20.65,103.25,86.04,115.0,0.498,L,0,2024-25
22400981,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,621.4,124.3,500.0,100.0,121.4,24.3,0.625,3.0,19.7,0.358,0.679,0.519,9.709,9.7,0.567,0.59,1.0,0.967,20.5,102.5,85.42,103.0,0.649,W,1,2024-25
22400963,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,584.2,116.8,560.6,112.1,23.6,4.7,0.619,1.63,18.7,0.3,0.82,0.589,15.842,15.8,0.613,0.639,1.0,0.956,20.0,100.0,83.33,101.0,0.577,W,1,2024-25
22400952,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,605.3,121.1,494.8,99.0,110.5,22.1,0.721,2.07,21.5,0.375,0.727,0.563,15.789,15.8,0.572,0.593,1.0,0.991,19.1,95.5,79.58,95.0,0.6,W,1,2024-25
22400925,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,712.1,142.4,626.3,125.3,85.9,17.2,0.717,2.92,24.5,0.419,0.725,0.566,13.131,13.1,0.668,0.694,1.0,0.974,19.8,99.0,82.5,99.0,0.554,W,1,2024-25
22400907,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,563.8,112.8,547.4,109.5,16.5,3.3,0.7,2.0,21.4,0.209,0.8,0.527,14.894,14.9,0.605,0.608,1.0,0.981,18.9,94.5,78.75,94.0,0.517,W,1,2024-25
22400892,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,651.0,130.2,572.9,114.6,78.1,15.6,0.614,4.5,20.1,0.245,0.614,0.443,6.25,6.3,0.606,0.627,1.0,0.981,19.2,96.0,80.0,96.0,0.564,W,1,2024-25
22400887,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,636.4,127.3,565.7,113.1,70.7,14.1,0.63,1.53,21.3,0.229,0.708,0.506,19.192,19.2,0.679,0.712,1.0,0.972,19.8,99.0,82.5,99.0,0.565,W,1,2024-25
22400873,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,563.1,112.6,480.4,96.1,82.7,16.5,0.718,3.5,20.1,0.145,0.723,0.412,7.767,7.8,0.538,0.573,1.0,0.964,20.5,102.5,85.42,103.0,0.551,W,1,2024-25
