gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won,season
22401190,1610612748,Miami,Heat,MIA,heat,240:00,572.8,114.6,583.3,116.7,-10.5,-2.1,0.571,3.5,19.7,0.224,0.826,0.516,7.767,7.8,0.551,0.571,1.0,0.974,20.5,102.5,85.42,103.0,0.51,L,0,2024-25
22401177,1610612748,Miami,Heat,MIA,heat,240:00,715.0,143.0,490.6,98.1,224.4,44.9,0.621,4.0,22.4,0.367,0.763,0.583,8.411,8.4,0.654,0.673,1.0,0.976,21.3,106.5,88.75,107.0,0.695,W,1,2024-25
22401160,1610612748,Miami,Heat,MIA,heat,240:00,538.8,107.8,583.3,116.7,-44.5,-8.9,0.636,2.15,19.6,0.245,0.767,0.489,12.621,12.6,0.543,0.558,1.0,0.983,20.5,102.5,85.42,103.0,0.451,L,0,2024-25
22401145,1610612748,Miami,Heat,MIA,heat,240:00,603.1,120.6,541.2,108.2,61.9,12.4,0.578,2.0,19.1,0.283,0.685,0.5,13.402,13.4,0.596,0.612,1.0,0.982,19.4,97.0,80.83,97.0,0.574,W,1,2024-25
22401131,1610612748,Miami,Heat,MIA,heat,265:00,542.5,108.5,570.8,114.2,-28.3,-5.7,0.558,2.4,16.4,0.267,0.891,0.538,9.434,9.4,0.495,0.527,1.0,0.984,19.2,96.0,80.0,106.0,0.43,L,0,2024-25
22401114,1610612748,Miami,Heat,MIA,heat,240:00,545.5,109.1,561.2,112.2,-15.8,-3.2,0.615,2.18,16.9,0.328,0.723,0.505,11.111,11.1,0.484,0.522,1.0,0.975,19.7,98.5,82.08,99.0,0.481,L,0,2024-25
22401106,1610612748,Miami,Heat,MIA,heat,240:00,720.9,144.2,598.8,119.8,122.1,24.4,0.651,5.6,21.7,0.349,0.551,0.457,5.814,5.8,0.602,0.653,1.0,0.97,17.2,86.0,71.67,86.0,0.602,W,1,2024-25
22401092,1610612748,Miami,Heat,MIA,heat,240:00,566.0,113.2,443.4,88.7,122.6,24.5,0.617,1.53,19.1,0.333,0.873,0.613,17.925,17.9,0.554,0.579,1.0,0.959,21.2,106.0,88.33,106.0,0.636,W,1,2024-25
22401076,1610612748,Miami,Heat,MIA,heat,240:00,634.4,126.9,510.8,102.2,123.7,24.7,0.75,3.0,22.9,0.36,0.814,0.57,11.828,11.8,0.581,0.598,1.0,0.964,18.6,93.0,77.5,93.0,0.591,W,1,2024-25
22401062,1610612748,Miami,Heat,MIA,heat,240:00,628.9,125.8,571.4,114.3,57.4,11.5,0.591,1.86,19.8,0.205,0.78,0.5,14.433,14.4,0.646,0.672,1.0,0.981,19.5,97.5,81.25,97.0,0.527,W,1,2024-25
22401047,1610612748,Miami,Heat,MIA,heat,240:00,622.2,124.4,472.5,94.5,149.7,29.9,0.605,1.44,20.5,0.306,0.685,0.533,20.0,20.0,0.669,0.681,1.0,0.96,18.1,90.5,75.42,90.0,0.658,W,1,2024-25
22401032,1610612748,Miami,Heat,MIA,heat,240:00,642.1,128.4,546.9,109.4,95.2,19.0,0.574,2.25,20.6,0.243,0.587,0.434,12.632,12.6,0.646,0.672,1.0,0.971,19.1,95.5,79.58,95.0,0.588,W,1,2024-25
22401015,1610612748,Miami,Heat,MIA,heat,240:00,515.8,103.2,531.3,106.3,-15.5,-3.1,0.658,1.19,19.8,0.162,0.64,0.437,22.105,22.1,0.589,0.619,1.0,0.98,19.1,95.5,79.58,95.0,0.513,L,0,2024-25
22401000,1610612748,Miami,Heat,MIA,heat,240:00,570.7,114.1,585.9,117.2,-15.2,-3.0,0.545,1.85,17.6,0.265,0.689,0.468,13.131,13.1,0.544,0.577,1.0,0.982,19.8,99.0,82.5,99.0,0.48,L,0,2024-25
22400984,1610612748,Miami,Heat,MIA,heat,240:00,489.7,97.9,604.2,120.8,-114.5,-22.9,0.59,1.1,17.3,0.295,0.646,0.478,21.649,21.6,0.512,0.544,1.0,0.964,19.3,96.5,80.42,97.0,0.425,L,0,2024-25
22400971,1610612748,Miami,Heat,MIA,heat,240:00,464.3,92.9,644.3,128.9,-180.0,-36.0,0.686,1.71,18.0,0.218,0.738,0.443,14.286,14.3,0.449,0.481,1.0,0.991,19.5,97.5,81.25,98.0,0.326,L,0,2024-25
22400958,1610612748,Miami,Heat,MIA,heat,240:00,494.6,98.9,559.8,112.0,-65.2,-13.0,0.529,1.0,15.0,0.233,0.702,0.478,19.565,19.6,0.54,0.552,1.0,0.971,18.4,92.0,76.67,92.0,0.47,L,0,2024-25
22400948,1610612748,Miami,Heat,MIA,heat,240:00,559.1,111.8,646.7,129.3,-87.6,-17.5,0.675,2.45,20.6,0.239,0.629,0.407,11.828,11.8,0.56,0.577,1.0,0.962,18.5,92.5,77.08,93.0,0.437,L,0,2024-25
22400931,1610612748,Miami,Heat,MIA,heat,240:00,536.8,107.4,552.6,110.5,-15.8,-3.2,0.615,1.5,17.6,0.347,0.74,0.545,16.842,16.8,0.518,0.544,1.0,0.982,19.0,95.0,79.17,95.0,0.483,L,0,2024-25
22400916,1610612748,Miami,Heat,MIA,heat,240:00,519.0,103.8,542.9,108.6,-23.8,-4.8,0.61,2.78,17.9,0.169,0.88,0.495,8.571,8.6,0.49,0.517,1.0,0.991,21.0,105.0,87.5,105.0,0.442,L,0,2024-25
22400907,1610612748,Miami,Heat,MIA,heat,240:00,547.4,109.5,563.8,112.8,-16.5,-3.3,0.707,3.22,21.6,0.2,0.791,0.473,9.474,9.5,0.539,0.554,1.0,0.971,18.9,94.5,78.75,95.0,0.483,L,0,2024-25
22400893,1610612748,Miami,Heat,MIA,heat,240:00,540.4,108.1,565.7,113.1,-25.3,-5.1,0.806,2.07,20.9,0.22,0.735,0.475,14.141,14.1,0.512,0.569,1.0,0.973,19.8,99.0,82.5,99.0,0.484,L,0,2024-25
22400877,1610612748,Miami,Heat,MIA,heat,240:00,540.8,108.2,459.2,91.8,81.6,16.3,0.795,2.58,23.0,0.14,0.833,0.526,12.245,12.2,0.555,0.589,1.0,0.971,19.6,98.0,81.67,98.0,0.618,W,1,2024-25
22400869,1610612748,Miami,Heat,MIA,heat,265:00,560.0,112.0,580.0,116.0,-20.0,-4.0,0.644,2.23,21.5,0.14,0.64,0.409,13.0,13.0,0.601,0.615,1.0,0.972,18.11,90.57,75.47,100.0,0.5,L,0,2024-25
22400854,1610612748,Miami,Heat,MIA,heat,240:00,672.0,134.4,645.2,129.0,26.9,5.4,0.708,2.27,24.1,0.389,0.732,0.571,16.129,16.1,0.673,0.697,1.0,0.972,18.6,93.0,77.5,93.0,0.521,W,1,2024-25
22400841,1610612748,Miami,Heat,MIA,heat,240:00,696.8,139.4,579.8,116.0,117.0,23.4,0.867,2.29,27.3,0.294,0.674,0.506,18.085,18.1,0.743,0.764,1.0,0.952,18.8,94.0,78.33,94.0,0.6,W,1,2024-25
22400825,1610612748,Miami,Heat,MIA,heat,240:00,443.3,88.7,510.4,102.1,-67.1,-13.4,0.556,0.83,11.4,0.339,0.68,0.495,18.557,18.6,0.363,0.448,1.0,0.966,19.3,96.5,80.42,97.0,0.403,L,0,2024-25
22400817,1610612748,Miami,Heat,MIA,heat,240:00,576.5,115.3,618.6,123.7,-42.0,-8.4,0.61,2.27,18.4,0.265,0.818,0.527,11.224,11.2,0.517,0.568,1.0,0.964,19.5,97.5,81.25,98.0,0.478,L,0,2024-25
22400800,1610612748,Miami,Heat,MIA,heat,265:00,588.2,117.6,544.1,108.8,44.1,8.8,0.435,1.43,15.0,0.244,0.691,0.49,13.725,13.7,0.583,0.613,1.0,0.965,18.48,92.38,76.98,102.0,0.534,W,1,2024-25
22400786,1610612748,Miami,Heat,MIA,heat,240:00,588.5,117.7,602.0,120.4,-13.5,-2.7,0.535,1.77,16.8,0.353,0.622,0.479,13.542,13.5,0.527,0.552,1.0,1.0,19.4,97.0,80.83,96.0,0.467,L,0,2024-25
